Id,income,income_binary,is_conflicting_duplicate_features
16280,<=50K,0,False
16281,<=50K,0,False
16282,<=50K,0,False
16283,<=50K,0,False
16284,>50K,1,False
16285,<=50K,0,False
16286,<=50K,0,False
16287,<=50K,0,False
16288,<=50K,0,False
16289,<=50K,0,False
16290,<=50K,0,False
16291,<=50K,0,False
16292,<=50K,0,False
16293,<=50K,0,False
16294,>50K,1,False
16295,<=50K,0,False
16296,<=50K,0,False
16297,<=50K,0,False
16298,<=50K,0,False
16299,<=50K,0,False
16300,<=50K,0,False
16301,<=50K,0,False
16302,<=50K,0,False
16303,>50K,1,False
16304,<=50K,0,False
16305,<=50K,0,False
16306,<=50K,0,False
16307,>50K,1,False
16308,>50K,1,False
16309,<=50K,0,False
16310,<=50K,0,False
16311,<=50K,0,False
16312,<=50K,0,False
16313,<=50K,0,False
16314,<=50K,0,False
16315,<=50K,0,False
16316,>50K,1,False
16317,<=50K,0,False
16318,<=50K,0,False
16319,<=50K,0,False
16320,<=50K,0,False
16321,<=50K,0,False
16322,<=50K,0,False
16323,<=50K,0,False
16324,<=50K,0,False
16325,<=50K,0,False
16326,<=50K,0,False
16327,<=50K,0,False
16328,<=50K,0,False
16329,>50K,1,False
16330,<=50K,0,False
16331,>50K,1,False
16332,>50K,1,False
16333,>50K,1,False
16334,<=50K,0,False
16335,>50K,1,False
16336,>50K,1,False
16337,>50K,1,False
16338,<=50K,0,False
16339,<=50K,0,False
16340,<=50K,0,False
16341,<=50K,0,False
16342,<=50K,0,False
16343,>50K,1,False
16344,<=50K,0,False
16345,<=50K,0,False
16346,>50K,1,False
16347,>50K,1,False
16348,<=50K,0,False
16349,<=50K,0,False
16350,<=50K,0,False
16351,>50K,1,False
16352,<=50K,0,False
16353,<=50K,0,False
16354,<=50K,0,False
16355,<=50K,0,False
16356,>50K,1,False
16357,<=50K,0,False
16358,<=50K,0,False
16359,>50K,1,False
16360,<=50K,0,False
16361,<=50K,0,False
16362,>50K,1,False
16363,<=50K,0,False
16364,>50K,1,False
16365,<=50K,0,False
16366,<=50K,0,False
16367,>50K,1,False
16368,>50K,1,False
16369,<=50K,0,False
16370,<=50K,0,False
16371,<=50K,0,False
16372,>50K,1,False
16373,<=50K,0,False
16374,<=50K,0,False
16375,<=50K,0,False
16376,<=50K,0,False
16377,<=50K,0,False
16378,<=50K,0,False
16379,<=50K,0,False
16380,>50K,1,False
16381,<=50K,0,False
16382,<=50K,0,False
16383,>50K,1,False
16384,<=50K,0,False
16385,>50K,1,False
16386,<=50K,0,False
16387,<=50K,0,False
16388,<=50K,0,False
16389,<=50K,0,False
16390,<=50K,0,False
16391,<=50K,0,False
16392,>50K,1,False
16393,<=50K,0,False
16394,<=50K,0,False
16395,<=50K,0,False
16396,<=50K,0,False
16397,>50K,1,False
16398,<=50K,0,False
